CVE_ID,Patch_commit,cve_func,oss_name,need_Oldest_version,need_Latest_version,patch_version
CVE-2016-2177,a004e72b95835136d3f1ea90517f706c24c03da7,ssl_get_prev_session,openssl,openssl:1.0.1,openssl:1.0.1t,openssl:1.0.1u
CVE-2016-2177,a004e72b95835136d3f1ea90517f706c24c03da7,ssl_check_for_safari,openssl,openssl:1.0.1,openssl:1.0.1t,openssl:1.0.1u
CVE-2016-2177,a004e72b95835136d3f1ea90517f706c24c03da7,ssl_scan_clienthello_custom_tlsext,openssl,openssl:1.0.1,openssl:1.0.1t,openssl:1.0.1u
CVE-2016-2177,a004e72b95835136d3f1ea90517f706c24c03da7,ssl_scan_clienthello_tlsext,openssl,openssl:1.0.1,openssl:1.0.1t,openssl:1.0.1u
CVE-2016-2177,a004e72b95835136d3f1ea90517f706c24c03da7,ssl_scan_serverhello_tlsext,openssl,openssl:1.0.1,openssl:1.0.1t,openssl:1.0.1u
CVE-2016-2177,a004e72b95835136d3f1ea90517f706c24c03da7,tls1_process_ticket,openssl,openssl:1.0.1,openssl:1.0.1t,openssl:1.0.1u
CVE-2016-2177,a004e72b95835136d3f1ea90517f706c24c03da7,ssl3_get_client_hello,openssl,openssl:1.0.2,openssl:1.0.2h,openssl:1.0.2i
CVE-2016-2177,a004e72b95835136d3f1ea90517f706c24c03da7,ssl_get_prev_session,openssl,openssl:1.0.2,openssl:1.0.2h,openssl:1.0.2i
CVE-2016-2177,a004e72b95835136d3f1ea90517f706c24c03da7,ssl_check_for_safari,openssl,openssl:1.0.2,openssl:1.0.2h,openssl:1.0.2i
CVE-2016-2177,a004e72b95835136d3f1ea90517f706c24c03da7,ssl_scan_clienthello_custom_tlsext,openssl,openssl:1.0.2,openssl:1.0.2h,openssl:1.0.2i
CVE-2016-2177,a004e72b95835136d3f1ea90517f706c24c03da7,ssl_scan_clienthello_tlsext,openssl,openssl:1.0.2,openssl:1.0.2h,openssl:1.0.2i
CVE-2016-2177,a004e72b95835136d3f1ea90517f706c24c03da7,ssl_scan_serverhello_tlsext,openssl,openssl:1.0.2,openssl:1.0.2h,openssl:1.0.2i
CVE-2016-2177,a004e72b95835136d3f1ea90517f706c24c03da7,tls1_process_ticket,openssl,openssl:1.0.2,openssl:1.0.2h,openssl:1.0.2i
CVE-2016-2179,f5c7f5dfbaf0d2f7d946d0fe86f08e6bcb36ed0d,dtls1_clear_queues,openssl,openssl:1.0.1,openssl:1.0.1t,openssl:1.0.1u
